date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:45	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2009%20Aug%202024%2009:26:47%20GMT	https://politicia-demo.pbminfotech.com/robots.txt		(from )
14:56:48	224196/224196	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Aug%202024%2009:26:47%20GMT	https://politicia-demo.pbminfotech.com/demo1/	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/index.html	(from )
14:56:49	46555/46555	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:37%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.3.1	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/instagram-feed/css/sbi-styles.min9b30.css	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:49	46869/46869	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2017%20Oct%202023%2006:42:08%20GMT	https://politicia-demo.pbminfotech.com/demo1/feed/	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/feed/index.html	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:50	2124/2124	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:57%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui-daterangepicker/jquery.comiseo.daterangepicker.css?ver=6.5.5	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui-daterangepicker/jquery.comiseo.daterangepickeradc6.css	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:50	6914/6914	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2017%20Oct%202023%2006:42:08%20GMT	https://politicia-demo.pbminfotech.com/demo1/comments/feed/	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/comments/feed/index.html	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:50	3023/3023	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:57%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui-daterangepicker/styles.css?ver=6.5.5	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui-daterangepicker/stylesadc6.css	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:51	132233/132233	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:57%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/css/frontend.min.css?ver=6.5.5	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/css/frontend.minadc6.css	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:51	22872/22872	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:57%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui/jquery-ui.css?ver=6.5.5	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/js/jquery-ui/jquery-uiadc6.css	(from https://politicia-demo.pbminfotech.com/demo1/)
14:56:51	31287/31287	---M--	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2006:11:57%20GMT	https://politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/fonts/style.css?ver=6.5.5	F:/Websites%20Raw/Political%20Portfolio%20HTML/White,%20Red%20and%20Blue%20Theme/politicia-demo.pbminfotech.com/demo1/wp-content/plugins/wp-event-manager/assets/fonts/styleadc6.css	(from https://politicia-demo.pbminfotech.com/demo1/)
