date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:31	26215/26215	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:10:19%20GMT	https://templates.hibootstrap.com/pily/default/index.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/index.html	(from )
17:05:32	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Aug%202024%2011:35:34%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
17:05:33	232756/232756	---MCZ	200	added ('OK')	text/css	etag:W/%22663afbd6-38d34%22	https://templates.hibootstrap.com/pily/default/assets/css/bootstrap.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:33	92615/92615	---MCZ	200	added ('OK')	text/css	etag:W/%22663b024c-169c7%22	https://templates.hibootstrap.com/pily/default/assets/css/icofont.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/icofont.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:34	5754/5754	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-1c38%22	https://templates.hibootstrap.com/pily/default/assets/css/meanmenu.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:34	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-11846%22	https://templates.hibootstrap.com/pily/default/assets/css/animate.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:36	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-c2c%22	https://templates.hibootstrap.com/pily/default/assets/css/odometer.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:36	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-d17%22	https://templates.hibootstrap.com/pily/default/assets/css/owl.carousel.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:36	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-3f5%22	https://templates.hibootstrap.com/pily/default/assets/css/owl.theme.default.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
17:05:37	2069/2069	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7c4-815%22	https://templates.hibootstrap.com/pily/default/assets/css/modal-video.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Pily/templates.hibootstrap.com/pily/default/assets/css/modal-video.min.css	(from https://templates.hibootstrap.com/pily/default/index.html)
